review_id,reply,2段階
209970809,"この度はオリエンタルホテル 京都六条にご宿泊いただき、誠にありがとうございます。

設備や清潔感、おもてなしにご満足いただけたとのお言葉をいただき、大変嬉しく思います。ドリンクサービスの豊富さも多くのお客様にご利用いただいている点であり、喜んでいただけたことが何よりの励みです。

京都駅からは少し距離がありますが、その分皆様にご満足いただけるサービスを心掛けております。 

またのご来館を心よりお待ちしております。","この度はオリエンタルホテル京都六条にご宿泊いただき、誠にありがとうございます。

設備や清潔感、豊富なドリンクサービスにご満足いただけたとのことで、大変嬉しく思います。また、おもてなしについても高く評価いただき、心より感謝申し上げます。

京都駅からの距離についてご理解いただき、ありがとうございます。これからも、お客様に快適で心地よい空間を提供できるよう、スタッフ一同努めて参ります。

ぜひまたのご来館を心よりお待ちしております。"
205435941,"この度はご宿泊いただき、誠にありがとうございます。

ご滞在中にご不便をおかけし、申し訳ございませんでした。お部屋のご準備が遅れ、お客様にご迷惑をおかけしたこと、心よりお詫び申し上げます。また、施設に関してのご指摘もありがたく受け止めております。お客様のご意見は、今後の改善に繋げてまいります。

お客様にリラックスした時間を提供できるホテルとなるよう、スタッフ一同努力してまいります。次回のご訪問の際には、より良いサービスをお届けできるよう尽力いたしますので、またのお越しを心よりお待ちしております。","この度はオリエンタルホテル京都六条をご利用いただき、誠にありがとうございます。

しかしながら、お客様のご期待にお応えできず、心よりお詫び申し上げます。お部屋の準備やアクセスに関するご不便をおかけしましたこと、大変申し訳ございません。また、スタッフの対応についてもご指摘いただき、重ねてお礼申し上げます。

いただいたご意見をもとに、サービスの向上に努めてまいります。お客様に心地よいご滞在を提供できるよう、改善を進めていきますので、今後とも何卒よろしくお願いいたします。

またのご来館を心よりお待ちしております。

オリエンタルホテル京都六条"
194593281,"この度はお越しいただき、誠にありがとうございます。

「うまい」とのお言葉をいただき、大変嬉しく思います。お客様にご満足いただけるお料理を提供できるよう、スタッフ一同心掛けております。

またのご来館を心よりお待ち申し上げております。","ご来館いただき誠にありがとうございます。お客様からのご意見やご感想を心よりお待ちしております。お客様にご満足いただけるサービスを提供できるよう、スタッフ一同努めてまいりますので、またのお越しを心よりお待ちしております。

オリエンタルホテル京都六条"
188236382,"この度は、オリエンタルホテル京都六条にご宿泊いただき誠にありがとうございます。

和室の板張りについてご不便をおかけし申し訳ございません。お客様の貴重なご意見は、今後の改善に活かさせていただきます。

また、朝食のアレルギー対応表示についてお褒めのお言葉をいただき大変嬉しく思います。わかりやすさを心掛けておりますので、その点をご評価いただきありがとうございます。

隠れ家としての立地を気に入っていただけたとのこと、嬉しく思っております。ぜひ次回は別のプランもご検討いただければと思います。

またのご来館を心よりお待ちしております。","この度はオリエンタルホテル京都六条をご利用いただき、誠にありがとうございます。

客室の和室について、板張りの部分が使いづらかったとの貴重なご意見をいただき、心より感謝申し上げます。ご不便をおかけし申し訳ございません。今後の改善に努めてまいります。

また、朝食のアレルギー表示が分かりやすかったとのお言葉、大変嬉しく思います。お客様が安心してお食事を楽しんでいただけるよう、引き続き配慮してまいります。

駅からの距離についても、隠れ家として推薦いただけることを嬉しく思っております。今後ともお客様にご満足いただけるサービスを提供できるよう努力してまいります。

またのご来館を心よりお待ちしております。 

オリエンタルホテル京都六条"
186813431,"この度は、オリエンタルホテル京都六条にご来館いただき、誠にありがとうございます。

静かな街に佇む当ホテルの立地をお気に召していただけたようで、大変嬉しく思っております。京都の魅力を存分に感じていただける場所を提供できていることは、私たちの喜びでもあります。

ぜひまたのご来館を心よりお待ちしております。京都でのお越しの際には、いつでもお立ち寄りくださいませ。","この度はオリエンタルホテル 京都六条をご利用いただき、誠にありがとうございます。

当ホテルの静かな立地をお気に召していただけたとのこと、大変嬉しく思っております。落ち着いた環境でおくつろぎいただけたことが何よりの喜びです。

今後もお客様にご満足いただけるよう努めてまいりますので、またのご来館を心よりお待ちしております。

オリエンタルホテル京都六条"
185753175,"この度はご来館いただき、誠にありがとうございます。

朝食の白味噌のお味噌汁や湯豆腐をお楽しみいただけたとのことで、大変嬉しく思っております。京都らしさを感じていただけた点も評価いただき、ありがとうございます。

他のオリエンタルホテル系列と比較したご意見については、貴重なご指摘として受け止めさせていただきます。私たちは常にサービス向上に努めて参りますので、今後ともご期待に添えますようさらなる努力をしていきます。

またのご来館を心よりお待ちしております。","この度は貴重なご意見を賜り、誠にありがとうございます。

白味噌のお味噌汁や湯豆腐をお気に召していただけたとのことで、大変嬉しく思っております。京都らしさを感じていただけたことは、私たちにとって何よりの喜びです。

また、他のオリエンタルホテル系列との比較についてのご指摘もいただき、感謝申し上げます。今後とも、お客様にご満足いただけるよう、質の向上に努めてまいります。

ぜひまたのご来館を心よりお待ちしております。

オリエンタルホテル京都六条"
183366887,"この度は、オリエンタルホテル京都六条をご利用いただき、誠にありがとうございます。  

立地や設備についてご不便をおかけし、申し訳ございません。お客様からの貴重なご意見は今後の改善にしっかりと活かしてまいります。  

快適なご滞在を提供できるよう努力し、スタッフ一同心がけてまいりますので、またのお越しを心よりお待ちしております。","この度は、オリエンタルホテル京都六条にご宿泊いただき、誠にありがとうございます。また、貴重なご意見をお寄せいただき感謝申し上げます。

立地や設備に関して、ご不便をおかけし申し訳ございません。特に、テレビが夜中に自動でオンになる件につきましては、大変ご迷惑をおかけいたしました。早急に点検を行い、必要な修正を進めてまいります。

さらに、お部屋のテーブルやコンセントの位置、空調についてのご指摘もありがたく受け止め、改善を検討いたします。お客様にとって快適な滞在となりますよう、スタッフ一同努めてまいります。

お客様の貴重なご意見を重視し、次回はよりご満足いただけるご滞在を提供できるよう努めてまいります。またのご来館を心よりお待ちしております。

オリエンタルホテル京都六条"
183366889,"この度はご利用いただき、誠にありがとうございます。

フリードリンクやおつまみをお楽しみいただけたとのことで、大変嬉しく思っております。お部屋の静かさや清潔感についてもご評価いただき、スタッフ一同励みになります。

今後とも、快適にお過ごしいただける空間を提供できるよう努めて参ります。

またのご来館を心よりお待ちしております。","この度はオリエンタルホテル京都六条をご利用いただき、誠にありがとうございます。

フリードリンクやおつまみをお楽しみいただけたとのこと、大変嬉しく思っております。また、静かで清潔な環境についての温かいお言葉をいただき、感謝申し上げます。

これからもお客様に快適なひとときを提供できるよう努めてまいりますので、またのご来館を心よりお待ちしております。

オリエンタルホテル京都六条"
183366898,"この度はオリエンタルホテル 京都六条をご利用いただき、誠にありがとうございます。

ホテルの静けさやウェルカムドリンクにご満足いただけたとのことで、大変嬉しく思います。お部屋の広さや浴室の使いやすさについてもお褒めいただき、ありがとうございます。朝食をお召し上がりいただけなかったことは残念でしたが、次回にはぜひ美味しい朝食をお楽しみいただければ幸いです。

再度のご利用を心よりお待ち申し上げております。これからもお客様にご満足いただけるよう努めてまいります。","この度は、オリエンタルホテル京都六条へのご宿泊、誠にありがとうございます。

ウェルカムドリンクやお部屋の広さについてお褒めの言葉をいただき、大変嬉しく思っております。また、再訪時に朝食を楽しんでいただけたことも、私どもにとって何よりの喜びです。

今回はご不便をおかけしましたが、次回はぜひゆっくりとご利用いただければ幸いです。お寄せいただいた写真も、大変ありがたく思います。

次回のご来館を心よりお待ちしております。  

オリエンタルホテル京都六条"
183366899,"この度は当ホテルにご宿泊いただき、誠にありがとうございます。

落ち着いた部屋や、利便性の高い立地についてご評価いただき、大変嬉しく思います。

夕食の際に、近くのコンビニをご利用されるアイデアも良いですね。快適にお過ごしいただけたことが伝わり、スタッフ一同励みになります。

またのご来館を心よりお待ちしております。","この度はオリエンタルホテル京都六条をご利用いただき、誠にありがとうございます。

お部屋の落ち着きや、便利なサービスをお気に召していただけたとのことで、大変嬉しく思います。コンビニへのアクセスやドリンクサービスもお役に立てたようで何よりです。

次回のご滞在では、京都駅への訪問もぜひご検討ください。またのご来館を心よりお待ちしております。

オリエンタルホテル京都六条"
183366928,"この度はオリエンタルホテル京都六条にご宿泊いただき、誠にありがとうございます。

清潔感やサービスに対するお褒めの言葉、大変嬉しく思います。特に出汁のお味を気に入っていただけたとのこと、スタッフ一同励みになります。

アクセスに関してはお客様にとってご不便をおかけし、申し訳ございませんでした。しかし、地元の方々に助けられたご旅行となったとのお言葉を拝見し、安心いたしました。

またのお越しを心よりお待ちしております。","この度は、オリエンタルホテル京都六条にご宿泊いただき、誠にありがとうございます。また、貴重なご感想をお寄せいただき、大変嬉しく思います。

清潔な部屋やスタッフの対応、ウエルカムドリンクをお楽しみいただけたとのこと、私たちのサービスが快適なご滞在のお手伝いできたことに感謝いたします。アクセスに関してのご不便については、ご迷惑をおかけし申し訳ございません。しかし、地元の方々が親切にサポートしてくださったとのお話に、少し安心いたしました。

今後ともお客様にとって心地よい滞在を提供できるよう努めてまいりますので、ぜひまたのお越しを心よりお待ちしております。"
183366930,"この度は、貴重なご意見をいただき誠にありがとうございます。

おハガキや手紙の受け取りについて、スムーズに行かずご不便をおかけし申し訳ございませんでした。ポストの場所が分かりづらかったとのこと、スタッフ一同で改善に努めてまいります。

お客様のご指摘は、今後のサービス向上に大変貴重なものと受け止めております。

またのご来館を心よりお待ちしております。","この度は貴重なご意見をいただき、誠にありがとうございます。

お手紙の受け取りについてご不便をおかけし申し訳ございません。お客様のご意見は、サービス向上に向けて大変重要なものと受け止めております。スタッフ一同、改善に努めて参ります。

今後ともオリエンタルホテル京都六条をどうぞよろしくお願いいたします。お客様のまたのご来館を心よりお待ちしております。 

オリエンタルホテル京都六条"
183366935,"この度はオリエンタルホテル京都六条にご宿泊いただき、誠にありがとうございます。

駅からの距離や観光に適した立地を評価していただけたこと、大変嬉しく思っております。また、浴槽やアメニティの使い勝手、ロビーでの飲み物サービスについてもお楽しみいただけたことに感謝申し上げます。

今後も快適なご滞在を提供できるよう努めてまいりますので、ぜひまたのご来館を心よりお待ちしております。","この度はオリエンタルホテル京都六条にご宿泊いただき、誠にありがとうございます。

駅から距離がある中で、観光の拠点としてお選びいただけたことを大変嬉しく思います。また、広い浴槽やアメニティの整備、ロビーでの飲み物サービスにご満足いただけたようで、安らぎのひとときを提供できたことを光栄に感じております。

今後ともより良いサービスを心がけて参りますので、またのご来館を心よりお待ちしております。

オリエンタルホテル京都六条"
183366939,"この度は、オリエンタルホテル 京都六条にご宿泊いただき、誠にありがとうございます。

当ホテルの立地や施設に関する貴重なご意見をいただき、感謝申し上げます。確かに、厳しい暑さの中、徒歩でのアクセスが大変な場合もございますね。また、チェックイン時の端末操作でご不便をおかけし申し訳ございません。次回は、よりスムーズにご利用いただけるよう、スタッフ一同努めてまいります。

お水のサービスについてはご評価いただきうれしく思いますが、冷蔵庫がない点についてはご不便をおかけいたしました。お客様の貴重なご意見は、今後の改善に活かさせていただきます。

お部屋に関するご感想も、しっかりと受け止めさせていただきました。お客様のご期待に応えられるよう、努めてまいります。

またのご来館を心よりお待ちしております。","この度はオリエンタルホテル京都六条にご宿泊いただき、誠にありがとうございます。また、貴重なご意見をお寄せいただき感謝いたします。

アクセスやチェックイン時の操作について、ご不便をおかけし申し訳ございませんでした。スタッフがサポートできたことは嬉しく思いますが、よりスムーズにご利用いただけるよう改善に努めてまいります。

冷蔵庫の設置についても、ご期待に沿えず残念に思います。頂戴したご意見をもとに、快適な滞在を提供できるよう工夫していきますので、またのご来館を心よりお待ちしております。

オリエンタルホテル京都六条"
183366943,"この度はご利用いただき、誠にありがとうございます。

お部屋に関するご意見をいただき感謝申し上げます。ユニットバスの狭さやトイレの数について不便を感じられたとのこと、大変申し訳ございません。お客様のご指摘は、今後の改善に役立ててまいります。

また、スタッフの対応やチェックイン時の説明不足についてもご不便をおかけし、申し訳ございませんでした。サービス向上に努めてまいります。

お客様の貴重なご意見を大切にし、より良いホテルを目指します。またのご来館を心よりお待ちしております。","この度は貴重なご意見をいただき、誠にありがとうございます。

お部屋に関してご満足いただけたこと、大変嬉しく思います。一方で、ユニットバスの狭さや、チェックイン時の説明不足、アメニティに関するご指摘については、ご不便をおかけし申し訳ございません。いただきましたご意見は、今後の改善に活かしてまいります。

また、従業員の対応についてもご指摘いただき感謝いたします。サービス向上に向け、スタッフ一同取り組んで参ります。

お客様にはより快適にお過ごしいただけるよう、努めてまいりますので、ぜひまたのご来館を心よりお待ちしております。

オリエンタルホテル京都六条"
183366944,"この度はご利用いただき、誠にありがとうございます。

朝食をお楽しみいただけたとのこと、大変嬉しく思います。お客様からの温かいお言葉は、スタッフ一同の励みになります。

一方で、ベッドに関してご不便をおかけし申し訳ございません。お客様のご意見は今後の改善に活かしてまいりますので、貴重なご感想をいただき感謝申し上げます。

またのご来館を心よりお待ちしております。","ご来館いただき、誠にありがとうございます。

朝食をお楽しみいただけたとのことで、大変嬉しく思います。私たちの料理が朝のひとときに彩りを添えられたなら幸いです。

一方で、ベッドに関してご不便をおかけし申し訳ございません。お客様のご意見をしっかりと受け止め、今後の改善に努めてまいります。

またのご来館を心よりお待ちしております。"
183366953,"お客様

この度はご利用いただき、誠にありがとうございます。

チェックイン時の領収書発行やウェルカムドリンク、さらにエアコンの温度調整に関してご不便をおかけし申し訳ございません。スタッフ間の相互フォローや、設備についての対応を改善し、快適にお過ごしいただけるよう努めて参ります。

お部屋の清潔さについてはご満足いただけたようで嬉しく思いますが、その他の点に関するご指摘は真摯に受け止め、今後のサービス向上に活かさせていただきます。

またのご来館を心よりお待ちしております。","この度はオリエンタルホテル京都六条にご宿泊いただき、誠にありがとうございます。

チェックイン時に領収書の発行ができなかったことや、ウエルカムドリンクに関する不足について、ご不便をおかけし申し訳ございません。また、スタッフ間の連携不足や、お部屋の設備面のご指摘も心より感謝申し上げます。

お客様からいただきましたご意見は、今後の改善に活かさせていただきます。快適なご滞在を提供できるよう努めてまいりますので、次回お越しいただける際には、より良いサービスをご体験いただければ幸いです。

またのお越しを心よりお待ちしております。"
183366954,"この度は当ホテルをご利用いただき、誠にありがとうございます。

お洒落な雰囲気を感じていただけたとのこと、大変嬉しく思います。また、朝食やカレーに関するご意見もお寄せいただき、ありがとうございます。

一方で、ゴミ箱の件やフロントでの対応についてご不便をおかけし、申し訳ございませんでした。スタッフ一同、改善に向けて努めてまいります。

また、エアコンの温度管理やお部屋の状態についても貴重なご意見をいただき感謝いたします。これからもお客様に快適にお過ごしいただけるよう、取り組んで参ります。

お忙しい中、詳細なご感想をお寄せいただきありがとうございます。次回のご来館を心よりお待ちしております。","この度は、オリエンタルホテル 京都六条にご滞在いただき、誠にありがとうございます。  
落ち着いた雰囲気やお洒落な空間をお楽しみいただけたとのことで、大変嬉しく思います。

しかしながら、いくつかの清掃に関する点やフロントの対応についてご不便をおかけし申し訳ございません。  
ご指摘いただきました内容については、すぐに改善に取り組む所存です。お客様からの貴重なご意見をサービス向上に活かしてまいります。

朝食やお部屋に関するご感想もありがとうございました。お客様にご満足いただけるよう、さらなる品質向上に努めます。  
またのご来館を心よりお待ち申し上げております。  
オリエンタルホテル京都六条"
183366956,"この度はご宿泊いただき、誠にありがとうございます。

美味しい朝食をお楽しみいただけたとのお言葉、大変嬉しく思っております。西京焼きを気に入っていただけたことは、スタッフ一同の励みになります。

当ホテルでは、様々なお料理をご用意しておりますので、次回のご来館の際にもぜひ他のメニューもお試しいただければと存じます。

またのお越しを心よりお待ちしております。","この度はオリエンタルホテル京都六条にご来館いただき、誠にありがとうございます。

ご朝食をお楽しみいただけたとのことで、大変嬉しく思っております。特に西京焼きについてのご感想をお寄せいただき、心より感謝申し上げます。

お客様のまたのご来館を心よりお待ちしております。"
183366960,"この度は当ホテルをご利用いただき、誠にありがとうございます。

お褒めのお言葉をいただき、大変嬉しく思います。雰囲気や快適さについてご満足いただけたとのこと、スタッフ一同励みになります。 

駅からのアクセスについてもご理解いただき、ありがとうございます。タクシーやバスをご利用いただけるとのことで、少しでも利便性を感じていただけたら嬉しいです。 

次回はぜひ、さまざまなサービスをご利用いただける機会をお待ちしております。 

またのご来館を心よりお待ちしております。","お忙しい中、口コミをお寄せいただき誠にありがとうございます。

ご出張でのご利用、またお部屋の雰囲気や清潔さについてお褒めの言葉をいただき、大変嬉しく思います。駅からのアクセスに関しましても、タクシーやバスの利用が便利である点をご理解いただき、感謝申し上げます。

次回お越しいただいた際には、ぜひサービスもご利用いただければと思います。スタッフ一同、またのご来館を心よりお待ちしております。

オリエンタルホテル京都六条"
183366980,"この度は、オリエンタルホテル京都六条をご利用いただき、誠にありがとうございます。

バスルームやホテル周辺の清掃状態についてご不快な思いをさせてしまい、心よりお詫び申し上げます。清潔な環境をご提供することは私たちの最優先事項ですので、頂いたご指摘を真摯に受け止め、早急に改善に努めて参ります。

貴重なご意見をいただき、ありがとうございます。これからもお客様に快適にお過ごしいただけるよう、スタッフ一同尽力して参ります。

またのお越しを心よりお待ちしております。","この度はオリエンタルホテル京都六条にご滞在いただき、誠にありがとうございます。

しかしながら、バスルームの臭いや玄関周りの不快な状況について、ご迷惑をおかけし申し訳ございません。お客様に快適にお過ごしいただけるよう、清掃や管理を徹底してまいります。

貴重なご意見をいただき、心より感謝申し上げます。次回のご来館の際には、より良いサービスを提供できるよう努めてまいりますので、またのご来館を心よりお待ちしております。

オリエンタルホテル京都六条"
183366982,"この度はオリエンタルホテル京都六条にご宿泊いただき、誠にありがとうございます。

京都の雰囲気や静かな環境をお楽しみいただけたこと、大変嬉しく思います。また、ウェルカムドリンクや朝食の内容についてもご満足いただけたようで、スタッフ一同喜んでおります。

お出汁の温かさや風味が気に入っていただけたとのことで、何度でもおかわりしていただけるのは嬉しい限りです。紙コップに関してご不便をおかけし申し訳ございません。次回はより快適にお過ごしいただけるよう、改善に努めて参ります。

また、地元の銭湯や和食の朝食についてもお褒めの言葉をいただき、光栄です。ご滞在が満足のいくものであったとのこと、何よりの励みになります。

次回京都にお越しの際も、ぜひ当ホテルをお選びいただけますよう、心よりお待ち申し上げております。","この度は素敵な口コミをいただき、誠にありがとうございます。

京都の落ち着いた雰囲気をご堪能いただけたこと、大変嬉しく思います。また、ウェルカムドリンクや朝食の和食、特に湯豆腐をお気に召していただけたこと、スタッフ一同喜んでおります。

紙コップに関するご意見も大変貴重で、今後の改善に努めさせていただきます。近隣の銭湯や静かな環境についてもお楽しみいただけたようで、何よりです。

さらに次回のご来館を心よりお待ちしております。京都での素敵な思い出を、また一緒に作れることを楽しみにしています。

オリエンタルホテル京都六条"
183366985,"この度は、貴重なご意見をいただき誠にありがとうございます。

以前宿泊された際の雰囲気が良かったとのこと、大変嬉しく思いますが、近年の清掃状態や施設の劣化についてご指摘いただき、心よりお詫び申し上げます。お客様にご満足いただける滞在を提供できるよう、スタッフ一同努めて参ります。

今後とも改善に取り組み、お客様に選ばれるホテルを目指してまいりますので、またのご来館を心よりお待ちしております。","貴重なご意見をいただき、誠にありがとうございます。

以前のご宿泊時に良い印象を持っていただいていたこと、大変嬉しく思います。しかしながら、最近のご滞在においてご期待に沿えず、ご不便をおかけし申し訳ございませんでした。

清掃やメンテナンスに関しましては、改善が必要であると認識しております。ご指摘いただいた点を真摯に受け止め、今後の改善に努めて参ります。

次回はより良いご滞在を提供できるよう努力してまいりますので、またのご来館を心よりお待ちしております。

オリエンタルホテル京都六条"
183366999,"この度はオリエンタルホテル 京都六条にご宿泊いただき、誠にありがとうございます。

当ホテルの美しさをお褒めいただき、大変嬉しく思っております。お客様にご満足いただける滞在を提供できるよう、スタッフ一同努力してまいります。

またのご来館を心よりお待ちしております。","ご利用いただき、誠にありがとうございます。

当ホテルの清潔さや快適さを実感していただけたとのことで、大変嬉しく思っております。お客様にご満足いただけるよう、スタッフ一同努めてまいります。

またのご来館を心よりお待ちしております。

オリエンタルホテル京都六条"
183367004,"この度は当ホテルをご利用いただき、誠にありがとうございます。

朝食や広々とした空間、スタッフの丁寧な対応についてお褒めの言葉をいただき、大変嬉しく思っております。

ただ、アクセスや立地に関してご不便をおかけしてしまい申し訳ございません。近隣のレストラン情報なども、今後の参考にさせていただきます。

またのご来館を心よりお待ちしております。","この度は、オリエンタルホテル 京都六条にご宿泊いただき、誠にありがとうございます。

ご朝食や館内の広々とした空間を気に入っていただけたとのこと、大変嬉しく思います。静かな環境でゆったりお過ごしいただけたことが、私たちにとって何よりの喜びです。また、アメニティや周辺レストランについての貴重なご意見、心より感謝申し上げます。

スタッフの対応についてもお褒めの言葉をいただき、光栄です。今後もお客様に快適にお過ごしいただけるよう、より一層努力してまいります。

またのご来館を心よりお待ちしております。"
