review_id,reply
209970809,"この度はオリエンタルホテル京都六条にご宿泊いただき、誠にありがとうございます。

設備や清潔感、豊富なドリンクサービスにご満足いただけたとのことで、大変嬉しく思います。また、おもてなしについても高く評価いただき、心より感謝申し上げます。

京都駅からの距離についてご理解いただき、ありがとうございます。これからも、お客様に快適で心地よい空間を提供できるよう、スタッフ一同努めて参ります。

ぜひまたのご来館を心よりお待ちしております。"
205435941,"この度はオリエンタルホテル京都六条をご利用いただき、誠にありがとうございます。

しかしながら、お客様のご期待にお応えできず、心よりお詫び申し上げます。お部屋の準備やアクセスに関するご不便をおかけしましたこと、大変申し訳ございません。また、スタッフの対応についてもご指摘いただき、重ねてお礼申し上げます。

いただいたご意見をもとに、サービスの向上に努めてまいります。お客様に心地よいご滞在を提供できるよう、改善を進めていきますので、今後とも何卒よろしくお願いいたします。

またのご来館を心よりお待ちしております。

オリエンタルホテル京都六条"
194593281,"ご来館いただき誠にありがとうございます。お客様からのご意見やご感想を心よりお待ちしております。お客様にご満足いただけるサービスを提供できるよう、スタッフ一同努めてまいりますので、またのお越しを心よりお待ちしております。

オリエンタルホテル京都六条"
188236382,"この度はオリエンタルホテル京都六条をご利用いただき、誠にありがとうございます。

客室の和室について、板張りの部分が使いづらかったとの貴重なご意見をいただき、心より感謝申し上げます。ご不便をおかけし申し訳ございません。今後の改善に努めてまいります。

また、朝食のアレルギー表示が分かりやすかったとのお言葉、大変嬉しく思います。お客様が安心してお食事を楽しんでいただけるよう、引き続き配慮してまいります。

駅からの距離についても、隠れ家として推薦いただけることを嬉しく思っております。今後ともお客様にご満足いただけるサービスを提供できるよう努力してまいります。

またのご来館を心よりお待ちしております。 

オリエンタルホテル京都六条"
186813431,"この度はオリエンタルホテル 京都六条をご利用いただき、誠にありがとうございます。

当ホテルの静かな立地をお気に召していただけたとのこと、大変嬉しく思っております。落ち着いた環境でおくつろぎいただけたことが何よりの喜びです。

今後もお客様にご満足いただけるよう努めてまいりますので、またのご来館を心よりお待ちしております。

オリエンタルホテル京都六条"
185753175,"この度は貴重なご意見を賜り、誠にありがとうございます。

白味噌のお味噌汁や湯豆腐をお気に召していただけたとのことで、大変嬉しく思っております。京都らしさを感じていただけたことは、私たちにとって何よりの喜びです。

また、他のオリエンタルホテル系列との比較についてのご指摘もいただき、感謝申し上げます。今後とも、お客様にご満足いただけるよう、質の向上に努めてまいります。

ぜひまたのご来館を心よりお待ちしております。

オリエンタルホテル京都六条"
183366887,"この度は、オリエンタルホテル京都六条にご宿泊いただき、誠にありがとうございます。また、貴重なご意見をお寄せいただき感謝申し上げます。

立地や設備に関して、ご不便をおかけし申し訳ございません。特に、テレビが夜中に自動でオンになる件につきましては、大変ご迷惑をおかけいたしました。早急に点検を行い、必要な修正を進めてまいります。

さらに、お部屋のテーブルやコンセントの位置、空調についてのご指摘もありがたく受け止め、改善を検討いたします。お客様にとって快適な滞在となりますよう、スタッフ一同努めてまいります。

お客様の貴重なご意見を重視し、次回はよりご満足いただけるご滞在を提供できるよう努めてまいります。またのご来館を心よりお待ちしております。

オリエンタルホテル京都六条"
183366889,"この度はオリエンタルホテル京都六条をご利用いただき、誠にありがとうございます。

フリードリンクやおつまみをお楽しみいただけたとのこと、大変嬉しく思っております。また、静かで清潔な環境についての温かいお言葉をいただき、感謝申し上げます。

これからもお客様に快適なひとときを提供できるよう努めてまいりますので、またのご来館を心よりお待ちしております。

オリエンタルホテル京都六条"
183366898,"この度は、オリエンタルホテル京都六条へのご宿泊、誠にありがとうございます。

ウェルカムドリンクやお部屋の広さについてお褒めの言葉をいただき、大変嬉しく思っております。また、再訪時に朝食を楽しんでいただけたことも、私どもにとって何よりの喜びです。

今回はご不便をおかけしましたが、次回はぜひゆっくりとご利用いただければ幸いです。お寄せいただいた写真も、大変ありがたく思います。

次回のご来館を心よりお待ちしております。  

オリエンタルホテル京都六条"
183366899,"この度はオリエンタルホテル京都六条をご利用いただき、誠にありがとうございます。

お部屋の落ち着きや、便利なサービスをお気に召していただけたとのことで、大変嬉しく思います。コンビニへのアクセスやドリンクサービスもお役に立てたようで何よりです。

次回のご滞在では、京都駅への訪問もぜひご検討ください。またのご来館を心よりお待ちしております。

オリエンタルホテル京都六条"
183366928,"この度は、オリエンタルホテル京都六条にご宿泊いただき、誠にありがとうございます。また、貴重なご感想をお寄せいただき、大変嬉しく思います。

清潔な部屋やスタッフの対応、ウエルカムドリンクをお楽しみいただけたとのこと、私たちのサービスが快適なご滞在のお手伝いできたことに感謝いたします。アクセスに関してのご不便については、ご迷惑をおかけし申し訳ございません。しかし、地元の方々が親切にサポートしてくださったとのお話に、少し安心いたしました。

今後ともお客様にとって心地よい滞在を提供できるよう努めてまいりますので、ぜひまたのお越しを心よりお待ちしております。"
183366930,"この度は貴重なご意見をいただき、誠にありがとうございます。

お手紙の受け取りについてご不便をおかけし申し訳ございません。お客様のご意見は、サービス向上に向けて大変重要なものと受け止めております。スタッフ一同、改善に努めて参ります。

今後ともオリエンタルホテル京都六条をどうぞよろしくお願いいたします。お客様のまたのご来館を心よりお待ちしております。 

オリエンタルホテル京都六条"
183366935,"この度はオリエンタルホテル京都六条にご宿泊いただき、誠にありがとうございます。

駅から距離がある中で、観光の拠点としてお選びいただけたことを大変嬉しく思います。また、広い浴槽やアメニティの整備、ロビーでの飲み物サービスにご満足いただけたようで、安らぎのひとときを提供できたことを光栄に感じております。

今後ともより良いサービスを心がけて参りますので、またのご来館を心よりお待ちしております。

オリエンタルホテル京都六条"
183366939,"この度はオリエンタルホテル京都六条にご宿泊いただき、誠にありがとうございます。また、貴重なご意見をお寄せいただき感謝いたします。

アクセスやチェックイン時の操作について、ご不便をおかけし申し訳ございませんでした。スタッフがサポートできたことは嬉しく思いますが、よりスムーズにご利用いただけるよう改善に努めてまいります。

冷蔵庫の設置についても、ご期待に沿えず残念に思います。頂戴したご意見をもとに、快適な滞在を提供できるよう工夫していきますので、またのご来館を心よりお待ちしております。

オリエンタルホテル京都六条"
183366943,"この度は貴重なご意見をいただき、誠にありがとうございます。

お部屋に関してご満足いただけたこと、大変嬉しく思います。一方で、ユニットバスの狭さや、チェックイン時の説明不足、アメニティに関するご指摘については、ご不便をおかけし申し訳ございません。いただきましたご意見は、今後の改善に活かしてまいります。

また、従業員の対応についてもご指摘いただき感謝いたします。サービス向上に向け、スタッフ一同取り組んで参ります。

お客様にはより快適にお過ごしいただけるよう、努めてまいりますので、ぜひまたのご来館を心よりお待ちしております。

オリエンタルホテル京都六条"
183366944,"ご来館いただき、誠にありがとうございます。

朝食をお楽しみいただけたとのことで、大変嬉しく思います。私たちの料理が朝のひとときに彩りを添えられたなら幸いです。

一方で、ベッドに関してご不便をおかけし申し訳ございません。お客様のご意見をしっかりと受け止め、今後の改善に努めてまいります。

またのご来館を心よりお待ちしております。"
183366953,"この度はオリエンタルホテル京都六条にご宿泊いただき、誠にありがとうございます。

チェックイン時に領収書の発行ができなかったことや、ウエルカムドリンクに関する不足について、ご不便をおかけし申し訳ございません。また、スタッフ間の連携不足や、お部屋の設備面のご指摘も心より感謝申し上げます。

お客様からいただきましたご意見は、今後の改善に活かさせていただきます。快適なご滞在を提供できるよう努めてまいりますので、次回お越しいただける際には、より良いサービスをご体験いただければ幸いです。

またのお越しを心よりお待ちしております。"
183366954,"この度は、オリエンタルホテル 京都六条にご滞在いただき、誠にありがとうございます。  
落ち着いた雰囲気やお洒落な空間をお楽しみいただけたとのことで、大変嬉しく思います。

しかしながら、いくつかの清掃に関する点やフロントの対応についてご不便をおかけし申し訳ございません。  
ご指摘いただきました内容については、すぐに改善に取り組む所存です。お客様からの貴重なご意見をサービス向上に活かしてまいります。

朝食やお部屋に関するご感想もありがとうございました。お客様にご満足いただけるよう、さらなる品質向上に努めます。  
またのご来館を心よりお待ち申し上げております。  
オリエンタルホテル京都六条"
183366956,"この度はオリエンタルホテル京都六条にご来館いただき、誠にありがとうございます。

ご朝食をお楽しみいただけたとのことで、大変嬉しく思っております。特に西京焼きについてのご感想をお寄せいただき、心より感謝申し上げます。

お客様のまたのご来館を心よりお待ちしております。"
183366960,"お忙しい中、口コミをお寄せいただき誠にありがとうございます。

ご出張でのご利用、またお部屋の雰囲気や清潔さについてお褒めの言葉をいただき、大変嬉しく思います。駅からのアクセスに関しましても、タクシーやバスの利用が便利である点をご理解いただき、感謝申し上げます。

次回お越しいただいた際には、ぜひサービスもご利用いただければと思います。スタッフ一同、またのご来館を心よりお待ちしております。

オリエンタルホテル京都六条"
183366980,"この度はオリエンタルホテル京都六条にご滞在いただき、誠にありがとうございます。

しかしながら、バスルームの臭いや玄関周りの不快な状況について、ご迷惑をおかけし申し訳ございません。お客様に快適にお過ごしいただけるよう、清掃や管理を徹底してまいります。

貴重なご意見をいただき、心より感謝申し上げます。次回のご来館の際には、より良いサービスを提供できるよう努めてまいりますので、またのご来館を心よりお待ちしております。

オリエンタルホテル京都六条"
183366982,"この度は素敵な口コミをいただき、誠にありがとうございます。

京都の落ち着いた雰囲気をご堪能いただけたこと、大変嬉しく思います。また、ウェルカムドリンクや朝食の和食、特に湯豆腐をお気に召していただけたこと、スタッフ一同喜んでおります。

紙コップに関するご意見も大変貴重で、今後の改善に努めさせていただきます。近隣の銭湯や静かな環境についてもお楽しみいただけたようで、何よりです。

さらに次回のご来館を心よりお待ちしております。京都での素敵な思い出を、また一緒に作れることを楽しみにしています。

オリエンタルホテル京都六条"
183366985,"貴重なご意見をいただき、誠にありがとうございます。

以前のご宿泊時に良い印象を持っていただいていたこと、大変嬉しく思います。しかしながら、最近のご滞在においてご期待に沿えず、ご不便をおかけし申し訳ございませんでした。

清掃やメンテナンスに関しましては、改善が必要であると認識しております。ご指摘いただいた点を真摯に受け止め、今後の改善に努めて参ります。

次回はより良いご滞在を提供できるよう努力してまいりますので、またのご来館を心よりお待ちしております。

オリエンタルホテル京都六条"
183366999,"ご利用いただき、誠にありがとうございます。

当ホテルの清潔さや快適さを実感していただけたとのことで、大変嬉しく思っております。お客様にご満足いただけるよう、スタッフ一同努めてまいります。

またのご来館を心よりお待ちしております。

オリエンタルホテル京都六条"
183367004,"この度は、オリエンタルホテル 京都六条にご宿泊いただき、誠にありがとうございます。

ご朝食や館内の広々とした空間を気に入っていただけたとのこと、大変嬉しく思います。静かな環境でゆったりお過ごしいただけたことが、私たちにとって何よりの喜びです。また、アメニティや周辺レストランについての貴重なご意見、心より感謝申し上げます。

スタッフの対応についてもお褒めの言葉をいただき、光栄です。今後もお客様に快適にお過ごしいただけるよう、より一層努力してまいります。

またのご来館を心よりお待ちしております。"
183367006,"ご意見を賜り、誠にありがとうございます。

テーブルの設置についての貴重なご提案、心より感謝申し上げます。お客様の声を真摯に受け止め、今後の改善に活かして参ります。

またのご来館を心よりお待ちしております。 

オリエンタルホテル京都六条"
183367007,"この度は貴重なご意見を賜り、誠にありがとうございます。

浴槽の栓に関する清掃が行き届いておらず、ご不快な思いをおかけしたこと、心よりお詫び申し上げます。今後は清掃業務の徹底を図り、衛生管理の向上に努めて参ります。また、アメニティグッズについても貴重なご指摘をいただき、感謝いたします。今後のサービス改善に活かして参ります。

スタッフ対応に関するお褒めの言葉もいただき、大変嬉しく思っております。アクセス面についてもご理解いただき、ありがとうございます。

またのご来館を心よりお待ちしております。

オリエンタルホテル京都六条"
183367010,"この度は、オリエンタルホテル京都六条をご利用いただき、誠にありがとうございます。

ご滞在中におけるチェックイン時やお荷物の取り扱いに際し、ご期待にお応えできなかったことを心よりお詫び申し上げます。特にお名前の誤りやスタッフの対応については、厳しく改善を図ってまいります。

また、冷房やアメニティに関してもご不便をおかけしたこと、大変申し訳ございません。お客様に快適にお過ごしいただけるよう、スタッフの教育や施設の見直しを進めてまいります。

次回ご利用の際には、より良いサービスをご提供できるよう努めて参りますので、またのご来館を心よりお待ちしております。"
183367051,"この度はオリエンタルホテル 京都六条をご利用いただき、誠にありがとうございます。

立地や内装、スタッフの対応についてお褒めのお言葉をいただき、大変嬉しく思っております。また、お部屋の広さにもご満足いただけたとのこと、何よりでございます。

朝食についての貴重なご意見、ありがとうございます。品数については今後の参考にさせていただき、より良いサービスを提供できるよう努めて参ります。ラウンジサービスをお楽しみいただけたとのこと、嬉しく思います。

今後ともお客様にご満足いただけるサービスを提供できるよう、スタッフ一同努力して参りますので、またのご来館を心よりお待ちしております。

オリエンタルホテル京都六条"
183367056,"この度は、オリエンタルホテル京都六条にご宿泊いただき、誠にありがとうございます。

スタッフへの温かいお言葉をありがとうございます。お客様にとって、心地よい滞在となったことを大変嬉しく思います。シンプルなお部屋やラウンジのアーモンドキャラメルがお気に召したようで、何よりです。

また、朝食の白味噌のお味噌汁や手作り最中を楽しんでいただけたとのことで、私たちのこだわりが伝わったことに感謝いたします。

次回の京都旅行の際も、ぜひお越しください。スタッフ一同、またのご来館を心よりお待ちしております。 

オリエンタルホテル京都六条"
183367067,"この度は、オリエンタルホテル京都六条に2泊のご利用を賜り、誠にありがとうございます。

快適にお過ごしいただけたとのお言葉、大変嬉しく思っております。特に朝食のお豆腐やフリードリンクもお楽しみいただけたようで、スタッフ一同喜んでおります。

お近くの銭湯や交通の便利さについてのご感想もいただき、ありがとうございます。これからも皆様に心地よくお過ごしいただけるよう努めて参りますので、またのご来館を心よりお待ちしております。

オリエンタルホテル京都六条"
183367068,"この度はオリエンタルホテル京都六条にご宿泊いただき、誠にありがとうございます。

清潔感や機能性についてのお褒めの言葉をいただき、大変嬉しく思います。しかし、朝食会場の混雑や騒音がご不便をおかけしたこと、また日本人のお客様にとって居心地が悪く感じられた点について、心よりお詫び申し上げます。いただいたご意見は、今後の改善に活かさせていただきます。

お風呂の水圧に関しましても貴重なご指摘をいただき、感謝申し上げます。より快適にご利用いただける環境づくりに努めてまいります。

今後ともお客様にご満足いただけるよう努力してまいりますので、またのご来館を心よりお待ちしております。

オリエンタルホテル京都六条"
183367069,"この度は貴重なご意見をいただき、誠にありがとうございます。

建物の清掃状態やアメニティに関するご指摘については、改善に向けてスタッフ一同、しっかりと取り組んでまいります。また、コンビニの距離についても情報提供に関する考慮をしてまいります。

朝食の配置に関しましてもご不便をおかけし、申し訳ございません。お客様のご意見を参考に、より快適にお楽しみいただけるよう工夫して参ります。サラダのご提供についても真摯に検討いたします。

この度のご意見を心より感謝申し上げます。次回のご利用を心よりお待ちしております。 

オリエンタルホテル京都六条"
183367070,"この度はオリエンタルホテル京都六条にご宿泊いただき、誠にありがとうございます。

最寄り駅からの道中を楽しんでいただけたとのこと、大変嬉しく思います。また、フロントの対応やお部屋、朝食についてのお褒めの言葉を賜り、スタッフ一同励みになります。

ご満足いただけたこと、大変光栄です。京都にお越しの際は、ぜひまたのご来館を心よりお待ちしております。どうぞお気をつけてお越しください。

オリエンタルホテル京都六条"
183367071,"ご利用いただき、誠にありがとうございます。

スタッフの対応やホテルの雰囲気についてお褒めの言葉をいただき、大変嬉しく思います。お客様に素敵な時間を過ごしていただけたことが、私たちにとって何よりの喜びです。

ぜひまたのご来館を心よりお待ちしております。ありがとうございました。

オリエンタルホテル京都六条"
183367072,"この度は貴重なご意見をいただき、誠にありがとうございます。

当ホテルの場所やコンセントの配置についてご不便をおかけし申し訳ございません。お客様のご指摘を真摯に受け止め、改善に努めて参ります。

また、朝食の種類に関しましても、より充実したメニューをご提供できるよう努力いたします。次回はぜひご期待いただければ幸いです。

お客様のまたのご来館を心よりお待ちしております。  
オリエンタルホテル京都六条"
183367076,"お正月にご来館いただき、誠にありがとうございます。ウェルカムドリンクとしての日本酒をお楽しみいただけたとのこと、大変嬉しく思います。

当ホテルでは、季節ごとに特別な体験をご用意できるよう心がけております。今後もお客様にご満足いただけるサービスを提供できるよう努めてまいります。

またのご来館を心よりお待ちしております。 

オリエンタルホテル京都六条"
183367078,"この度はオリエンタルホテル京都六条をご利用いただき、誠にありがとうございます。

落ち着いた雰囲気や京都らしさを感じていただけたこと、大変嬉しく思います。また、駐車場についてのお声も貴重なご意見として受け止めさせていただきます。周辺のコインパーキングについてもご案内いただき、感謝申し上げます。

レンタルサイクルのご利用を通じて、京都の魅力をさらにお楽しみいただければ幸いです。今後とも、お客様にご満足いただけるサービスを提供できるよう努めてまいりますので、またのご来館を心よりお待ちしております。

オリエンタルホテル京都六条"
183367079,"この度はオリエンタルホテル京都六条にご宿泊いただき、誠にありがとうございます。

お部屋や無料サービス、スタッフの対応について高く評価いただき、大変嬉しく思います。お客様に快適にお過ごしいただけるよう、これからもサービスの向上に努めてまいります。

11月の繁忙期におきましても、安心してお楽しみいただける環境を整えておりますので、ぜひまたのご来館を心よりお待ちしております。

オリエンタルホテル京都六条"
183367090,"この度はオリエンタルホテル京都六条をご利用いただき、誠にありがとうございます。

アクセスに関しまして貴重なご意見をいただき、感謝いたします。また、お部屋やドリンクサービス、朝食にご満足いただけたとのこと、大変嬉しく思います。

スタッフへの温かいお言葉もありがとうございます。楽しい女子旅の思い出をお作りいただけたようで、私たちも嬉しい限りです。

またのご来館を心よりお待ちしております。"
183367091,"この度はオリエンタルホテル 京都六条にご宿泊いただき、誠にありがとうございます。

京都駅からの立地や朝食にご満足いただけたとのことで、大変嬉しく思います。私たちスタッフ一同は、常にお客様にリラックスしていただけるよう心掛けております。

今後とも皆様にご満足いただけるサービスを提供できるよう努めてまいりますので、またのご来館を心よりお待ちしております。

オリエンタルホテル京都六条"
183367092,"この度はオリエンタルホテル京都六条にご宿泊いただき、誠にありがとうございます。

チェックイン時にスムーズなお手伝いができ、また静かにお休みいただけたことを嬉しく思います。ご指摘いただきましたお部屋の広さや設備については、貴重なご意見として今後の参考にさせていただきます。

次回はぜひ、その他のサービスもご利用いただき、さらに快適な滞在を体験していただければと思います。スタッフ一同、またのご来館を心よりお待ちしております。

オリエンタルホテル京都六条"
183367094,"この度はオリエンタルホテル京都六条にご宿泊いただき、誠にありがとうございます。

急なご予約にも関わらず、快適なひとときをお過ごしいただけたとのお言葉、大変嬉しく思います。お仕事のストレスが少しでも軽減されたことに、スタッフ一同心より安心いたしました。

次回のご滞在では、ぜひゆっくりとお過ごしいただけることを心待ちにしております。またのご来館を心よりお待ちしております。

オリエンタルホテル京都六条"
183367095,"この度は、ご不便をおかけし申し訳ございません。

エントランスのバリアフリーに関するご指摘や、タバコの煙に関するお声をいただき、真摯に受け止めております。お客様が快適に過ごせる環境を提供することは、当ホテルの最も重要な使命です。いただいたご意見については、スタッフ一同でしっかりと検討し、改善に努めてまいります。

貴重なご意見を誠にありがとうございます。今後ともお客様にご満足いただけるよう努力してまいりますので、またのご来館を心よりお待ちしております。

オリエンタルホテル京都六条"
183367099,"この度はオリエンタルホテル京都六条にご宿泊いただき、誠にありがとうございます。

和のコンセプトや外観についてお褒めの言葉をいただき、大変嬉しく思っております。USB照明の不具合および清掃が行き届いていなかった点につきましては、ご不便をおかけし申し訳ございません。いただいたご意見は、今後の改善に活かして参ります。

アーリーチェックインやレイトチェックアウト、レンタル自転車サービスにご満足いただけたとのこと、何よりでございます。またのご来館を心よりお待ちしております。

オリエンタルホテル京都六条"
183367100,"この度はオリエンタルホテル京都六条にご宿泊いただき、誠にありがとうございます。

お客様にご満足いただけたとのことで、大変嬉しく思っております。立地や館内の清潔さ、朝食の白味噌の味噌汁についてのご感想、心より感謝申し上げます。観光地へのアクセスがスムーズで、充実した京都旅行のお手伝いができたことが何よりです。

また、フロントの対応についてもお褒めの言葉をいただき、スタッフ一同励みになります。次回の京都旅行でもぜひご利用いただけますよう、心よりお待ち申し上げております。

今後ともより良いサービスを提供できるよう努めて参りますので、どうぞよろしくお願いいたします。ありがとうございました。 

オリエンタルホテル京都六条"
183367103,"ご利用いただき誠にありがとうございます。

コストパフォーマンスにご満足いただけたとのこと、大変嬉しく思います。また、お部屋に関するお褒めの言葉もありがとうございます。

フロントの対応がご期待に添えず、ご不便をおかけし申し訳ございません。スタッフ一同、今後の改善に努めてまいります。

駅からの距離についていただいた貴重なご意見も感謝いたします。またのご来館を心よりお待ちしております。

オリエンタルホテル京都六条"
183367109,"この度はオリエンタルホテル京都六条をご利用いただき、誠にありがとうございます。

シンプルでモダンな造りをご評価いただき、大変嬉しく思います。また、ウェルカムドリンクや快適なお部屋でのご滞在がご満足いただけたようで何よりです。

大浴場はご用意しておりませんが、他のサービスにおいて満足いただけるよう、今後も改善に努めてまいります。

お客様のまたのご来館を心よりお待ちしております。

オリエンタルホテル京都六条"
183367115,"この度はオリエンタルホテル京都六条にご宿泊いただき、誠にありがとうございます。

ご家族での京都旅行が素晴らしい思い出となったこと、大変嬉しく思います。また、スタッフの親切さやお部屋の快適さにご満足いただけて光栄です。

今後もお客様に快適にお過ごしいただけるよう、スタッフ一同心を込めて努めて参りますので、またのご来館を心よりお待ちしております。

オリエンタルホテル京都六条"
183367121,"この度はオリエンタルホテル 京都六条をご利用いただき、誠にありがとうございます。

ご指摘いただきましたエントランスの照明やお部屋の清掃状態について、心よりお詫び申し上げます。お客様に快適にお過ごしいただけるよう、これらの点を改善すべく努めてまいります。

また、フロントの対応に関しても期待に沿えず残念に思っております。今後はスタッフ一同、より良いサービスを提供できるよう努力を重ねてまいります。

貴重なお時間をいただき、ありがとうございます。またのご来館を心よりお待ち申し上げております。

オリエンタルホテル京都六条"
